Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,100,2
Label,,
TIME,CH1,CH2
-1.773e+01,22,-2.64
-1.770e+01,22,-2.48
-1.766e+01,22,-2.08
-1.763e+01,22,-2.16
-1.760e+01,22,-2.08
-1.757e+01,22,-2.08
-1.754e+01,22,-2.64
-1.750e+01,22,-3.28
-1.747e+01,22,-3.28
-1.744e+01,22,-2.88
-1.741e+01,22,-2.24
-1.738e+01,22,-1.52
-1.734e+01,22,-0.88
-1.731e+01,22,-0.56
-1.728e+01,22,-1.76
-1.725e+01,22,-3.04
-1.722e+01,22,-3.04
-1.718e+01,22,-2.32
-1.715e+01,26,-2.24
-1.712e+01,22,-2
-1.709e+01,22,-2
-1.706e+01,18,-2.72
-1.702e+01,22,-2.48
-1.699e+01,22,-2.48
-1.696e+01,22,-3.52
-1.693e+01,22,-3.52
-1.690e+01,22,-2.4
-1.686e+01,22,-1.44
-1.683e+01,22,-1.76
-1.680e+01,22,-2.64
-1.677e+01,22,-3.12
-1.674e+01,22,-3.28
-1.670e+01,22,-2.72
-1.667e+01,22,-2
-1.664e+01,22,-1.2
-1.661e+01,26,-1.12
-1.658e+01,26,-1.6
-1.654e+01,22,-2.56
-1.651e+01,26,-3.6
-1.648e+01,26,-3.28
-1.645e+01,22,-2.24
-1.642e+01,26,-1.84
-1.638e+01,22,-1.92
-1.635e+01,22,-2.16
-1.632e+01,22,-2.56
-1.629e+01,22,-2.4
-1.626e+01,26,-1.52
-1.622e+01,26,-0.8
-1.619e+01,22,-1.12
-1.616e+01,26,-2.48
-1.613e+01,26,-2.72
-1.610e+01,26,-2.4
-1.606e+01,26,-2.4
-1.603e+01,26,-2.08
-1.600e+01,26,-1.92
-1.597e+01,26,-1.52
-1.594e+01,26,-1.6
-1.590e+01,26,-2.32
-1.587e+01,26,-2.88
-1.584e+01,26,-2.96
-1.581e+01,26,-2.8
-1.578e+01,26,-2.88
-1.574e+01,26,-3.28
-1.571e+01,26,-3.04
-1.568e+01,26,-1.84
-1.565e+01,26,-0.96
-1.562e+01,26,-1.36
-1.558e+01,26,-2.32
-1.555e+01,26,-2.88
-1.552e+01,26,-3.28
-1.549e+01,26,-3.28
-1.546e+01,26,-2.48
-1.542e+01,26,-1.76
-1.539e+01,26,-1.44
-1.536e+01,26,-1.68
-1.533e+01,26,-1.76
-1.530e+01,26,-1.92
-1.526e+01,26,-2.4
-1.523e+01,26,-2.88
-1.520e+01,22,-2.24
-1.517e+01,26,-1.28
-1.514e+01,26,-0.64
-1.510e+01,26,-1.28
-1.507e+01,26,-1.84
-1.504e+01,26,-2.08
-1.501e+01,26,-1.84
-1.498e+01,26,-1.6
-1.494e+01,26,-1.84
-1.491e+01,22,-1.6
-1.488e+01,26,-2
-1.485e+01,22,-3.28
-1.482e+01,26,-3.28
-1.478e+01,26,-1.92
-1.475e+01,26,-1.44
-1.472e+01,26,-2.24
-1.469e+01,26,-2.32
-1.466e+01,26,-2.16
-1.462e+01,26,-2.4
-1.459e+01,26,-2.24
-1.456e+01,26,-2.56
-1.453e+01,26,-3.2
-1.450e+01,30,-3.44
-1.446e+01,26,-3.04
-1.443e+01,26,-2.48
-1.440e+01,26,-2.24
-1.437e+01,26,-2.72
-1.434e+01,26,-2.64
-1.430e+01,30,-2.24
-1.427e+01,26,-2.56
-1.424e+01,26,-2.8
-1.421e+01,26,-2.88
-1.418e+01,26,-2.32
-1.414e+01,26,-1.84
-1.411e+01,26,-2.32
-1.408e+01,26,-2.88
-1.405e+01,26,-2.8
-1.402e+01,26,-1.36
-1.398e+01,26,-0.4
-1.395e+01,26,-0.4
-1.392e+01,26,-1.6
-1.389e+01,30,-2.56
-1.386e+01,26,-2.64
-1.382e+01,30,-1.36
-1.379e+01,30,-0.4
-1.376e+01,30,-0.88
-1.373e+01,30,-1.6
-1.370e+01,30,-2.08
-1.366e+01,30,-2.8
-1.363e+01,30,-3.6
-1.360e+01,30,-3.2
-1.357e+01,30,-2.72
-1.354e+01,26,-2.96
-1.350e+01,30,-2.88
-1.347e+01,30,-2.48
-1.344e+01,30,-2.72
-1.341e+01,30,-2.96
-1.338e+01,26,-2.16
-1.334e+01,30,-1.6
-1.331e+01,30,-1.12
-1.328e+01,30,-0.32
-1.325e+01,30,-0.32
-1.322e+01,30,-1.92
-1.318e+01,30,-2.8
-1.315e+01,30,-2.4
-1.312e+01,30,-2.24
-1.309e+01,30,-2.08
-1.306e+01,30,-1.76
-1.302e+01,30,-2.24
-1.299e+01,30,-3.44
-1.296e+01,30,-3.76
-1.293e+01,30,-3.2
-1.290e+01,30,-2.16
-1.286e+01,30,-2
-1.283e+01,26,-1.52
-1.280e+01,30,-1.52
-1.277e+01,30,-1.76
-1.274e+01,30,-1.84
-1.270e+01,30,-1.76
-1.267e+01,30,-1.84
-1.264e+01,30,-1.68
-1.261e+01,30,-0.96
-1.258e+01,34,-1.04
-1.254e+01,30,-2.4
-1.251e+01,30,-3.76
-1.248e+01,30,-3.76
-1.245e+01,30,-3.36
-1.242e+01,30,-3.28
-1.238e+01,30,-2.48
-1.235e+01,30,-2.4
-1.232e+01,30,-2.64
-1.229e+01,30,-2.16
-1.226e+01,30,-1.6
-1.222e+01,30,-0.48
-1.219e+01,30,-0.16
-1.216e+01,30,-1.28
-1.213e+01,30,-2.4
-1.210e+01,30,-2.8
-1.206e+01,30,-2.56
-1.203e+01,34,-2.4
-1.200e+01,34,-2.32
-1.197e+01,34,-1.92
-1.194e+01,34,-2.08
-1.190e+01,30,-2.48
-1.187e+01,34,-2.88
-1.184e+01,34,-2.48
-1.181e+01,34,-1.68
-1.178e+01,30,-0.88
-1.174e+01,34,-0.56
-1.171e+01,34,-0.96
-1.168e+01,34,-1.92
-1.165e+01,34,-3.04
-1.162e+01,34,-3.76
-1.158e+01,34,-2.96
-1.155e+01,30,-1.2
-1.152e+01,34,-0.56
-1.149e+01,34,-1.12
-1.146e+01,34,-2.4
-1.142e+01,34,-3.2
-1.139e+01,34,-2.96
-1.136e+01,34,-1.76
-1.133e+01,34,-1.36
-1.130e+01,34,-2.16
-1.126e+01,34,-2.56
-1.123e+01,34,-2.8
-1.120e+01,34,-2.16
-1.117e+01,34,-1.36
-1.114e+01,34,-2
-1.110e+01,34,-3.44
-1.107e+01,34,-3.52
-1.104e+01,34,-2.32
-1.101e+01,34,-1.84
-1.098e+01,34,-2.08
-1.094e+01,34,-2.96
-1.091e+01,34,-3.04
-1.088e+01,34,-1.92
-1.085e+01,34,-1.84
-1.082e+01,34,-2.8
-1.078e+01,34,-2.72
-1.075e+01,34,-2
-1.072e+01,34,-1.6
-1.069e+01,34,-2.16
-1.066e+01,34,-2.24
-1.062e+01,30,-2.24
-1.059e+01,34,-2.16
-1.056e+01,34,-2.64
-1.053e+01,34,-2.48
-1.050e+01,34,-1.84
-1.046e+01,34,-1.6
-1.043e+01,34,-2
-1.040e+01,34,-2.88
-1.037e+01,34,-2.96
-1.034e+01,34,-2.48
-1.030e+01,30,-2.24
-1.027e+01,34,-2.72
-1.024e+01,38,-2.32
-1.021e+01,34,-1.76
-1.018e+01,34,-1.44
-1.014e+01,38,-0.64
-1.011e+01,34,-0.24
-1.008e+01,34,-0.64
-1.005e+01,38,-1.92
-1.002e+01,34,-2.08
-9.984e+00,34,-2.24
-9.952e+00,34,-2.72
-9.920e+00,38,-2.88
-9.888e+00,38,-3.12
-9.856e+00,38,-3.36
-9.824e+00,34,-2.24
-9.792e+00,38,-0.88
-9.760e+00,34,-0.64
-9.728e+00,38,-1.6
-9.696e+00,34,-1.92
-9.664e+00,38,-2
-9.632e+00,38,-2.48
-9.600e+00,38,-2.72
-9.568e+00,38,-2.96
-9.536e+00,38,-2.88
-9.504e+00,38,-2.32
-9.472e+00,38,-2.08
-9.440e+00,38,-2.08
-9.408e+00,38,-1.84
-9.376e+00,34,-1.68
-9.344e+00,38,-1.76
-9.312e+00,38,-2.08
-9.280e+00,38,-2.4
-9.248e+00,38,-2.88
-9.216e+00,38,-2.56
-9.184e+00,38,-2.72
-9.152e+00,38,-2.64
-9.120e+00,38,-2.64
-9.088e+00,38,-2.32
-9.056e+00,38,-1.68
-9.024e+00,38,-1.92
-8.992e+00,38,-2.56
-8.960e+00,38,-2.56
-8.928e+00,38,-1.76
-8.896e+00,38,-1.28
-8.864e+00,38,-1.04
-8.832e+00,38,-0.8
-8.800e+00,38,-1.12
-8.768e+00,34,-1.84
-8.736e+00,38,-2.32
-8.704e+00,34,-1.68
-8.672e+00,38,-1.44
-8.640e+00,38,-2.24
-8.608e+00,38,-2.56
-8.576e+00,38,-2.16
-8.544e+00,38,6
-8.512e+00,38,16.48
-8.480e+00,38,16.48
-8.448e+00,38,16.48
-8.416e+00,38,16.48
-8.384e+00,38,16.48
-8.352e+00,38,16.48
-8.320e+00,34,16.48
-8.288e+00,38,16.48
-8.256e+00,38,16.48
-8.224e+00,38,15.6
-8.192e+00,38,7.84
-8.160e+00,34,4.96
-8.128e+00,38,5.04
-8.096e+00,38,2
-8.064e+00,38,1.2
-8.032e+00,38,2.4
-8.000e+00,38,-0.24
-7.968e+00,38,-2.96
-7.936e+00,38,-1.36
-7.904e+00,42,-0.64
-7.872e+00,38,-2.16
-7.840e+00,38,-1.2
-7.808e+00,42,-0.8
-7.776e+00,42,-2.72
-7.744e+00,38,-1.28
-7.712e+00,38,0.72
-7.680e+00,42,-0.8
-7.648e+00,42,-2.4
-7.616e+00,38,-0.72
-7.584e+00,42,0.4
-7.552e+00,42,-0.4
-7.520e+00,38,-0.48
-7.488e+00,42,-1.6
-7.456e+00,38,-3.76
-7.424e+00,42,-3.44
-7.392e+00,42,-1.44
-7.360e+00,42,-1.2
-7.328e+00,38,-1.2
-7.296e+00,42,-0.32
-7.264e+00,42,-0.64
-7.232e+00,42,-1.92
-7.200e+00,38,-2.48
-7.168e+00,42,-1.52
-7.136e+00,38,-1.52
-7.104e+00,42,-1.68
-7.072e+00,38,-0.8
-7.040e+00,42,-1.6
-7.008e+00,42,-2.64
-6.976e+00,38,-1.84
-6.944e+00,42,-1.52
-6.912e+00,42,-1.92
-6.880e+00,42,-1.12
-6.848e+00,42,-0.8
-6.816e+00,42,-1.76
-6.784e+00,42,-2.16
-6.752e+00,42,-1.36
-6.720e+00,42,-1.6
-6.688e+00,42,-2.56
-6.656e+00,42,-1.68
-6.624e+00,42,-1.2
-6.592e+00,42,-2.08
-6.560e+00,42,-1.36
-6.528e+00,42,-0.24
-6.496e+00,38,-1.2
-6.464e+00,42,-1.76
-6.432e+00,42,-1.92
-6.400e+00,42,-2.32
-6.368e+00,42,-3.04
-6.336e+00,42,-2.8
-6.304e+00,42,-2.72
-6.272e+00,42,-2.24
-6.240e+00,42,-1.44
-6.208e+00,42,-2
-6.176e+00,42,-2.16
-6.144e+00,42,-1.6
-6.112e+00,42,-1.04
-6.080e+00,42,-0.8
-6.048e+00,42,-0.64
-6.016e+00,42,-1.12
-5.984e+00,42,-2.16
-5.952e+00,42,-2.96
-5.920e+00,46,-2.56
-5.888e+00,46,-1.6
-5.856e+00,42,-1.36
-5.824e+00,42,-0.88
-5.792e+00,46,-0.16
-5.760e+00,42,-0.4
-5.728e+00,42,-1.04
-5.696e+00,42,-1.84
-5.664e+00,42,-2.96
-5.632e+00,46,-3.36
-5.600e+00,46,-3.04
-5.568e+00,46,-2.16
-5.536e+00,42,-2.16
-5.504e+00,46,-1.76
-5.472e+00,42,-1.52
-5.440e+00,46,-1.52
-5.408e+00,46,-0.96
-5.376e+00,46,-1.04
-5.344e+00,46,-1.28
-5.312e+00,46,-1.36
-5.280e+00,46,-1.28
-5.248e+00,46,-1.04
-5.216e+00,46,-1.52
-5.184e+00,46,-2.4
-5.152e+00,46,-2.24
-5.120e+00,46,-2.48
-5.088e+00,46,-2.96
-5.056e+00,46,-3.28
-5.024e+00,46,-3.36
-4.992e+00,46,-2.32
-4.960e+00,46,-0.64
-4.928e+00,46,-0.24
-4.896e+00,46,-1.12
-4.864e+00,46,-1.92
-4.832e+00,46,-2.16
-4.800e+00,42,-2.56
-4.768e+00,46,-2.8
-4.736e+00,46,-2.56
-4.704e+00,46,-2
-4.672e+00,46,-1.68
-4.640e+00,46,-1.92
-4.608e+00,46,-2.24
-4.576e+00,46,-1.68
-4.544e+00,46,-1.2
-4.512e+00,46,-1.12
-4.480e+00,46,-1.12
-4.448e+00,42,-1.12
-4.416e+00,46,-1.76
-4.384e+00,46,-2.4
-4.352e+00,46,-2.08
-4.320e+00,46,-1.44
-4.288e+00,46,-1.12
-4.256e+00,46,-2
-4.224e+00,50,-3.12
-4.192e+00,46,-2.88
-4.160e+00,46,-2.24
-4.128e+00,46,-1.68
-4.096e+00,46,-1.12
-4.064e+00,50,-1.2
-4.032e+00,46,-1.6
-4.000e+00,46,-2.08
-3.968e+00,50,-1.2
-3.936e+00,50,-0.24
-3.904e+00,46,-0.48
-3.872e+00,50,-2.08
-3.840e+00,46,-3.12
-3.808e+00,46,-3.6
-3.776e+00,50,-3.6
-3.744e+00,50,-2.88
-3.712e+00,50,-2.56
-3.680e+00,50,-2.88
-3.648e+00,46,-1.84
-3.616e+00,50,-0.4
