FrameNumber,Spot ID,X,Y,Z,Radius,Orientation (if meaningful),Length (if meaningful), Fit Background (for FIONA), Gaussian Summed Value (for FIONA), Mean Background (FIONA), Summed Value (for FIONA)
30, 0, 1101.468750,582.781250,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
30, 1, 936.406250,781.687500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
30, 2, 594.656250,752.531250,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
30, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
30, 4, 958.875000,167.531250,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
31, 0, 1101.531250,583.093750,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
31, 1, 934.187500,785.312500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
31, 2, 598.812500,750.375000,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
31, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
31, 4, 953.781250,170.406250,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
32, 0, 1101.750000,583.218750,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
32, 1, 934.625000,782.468750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
32, 2, 603.812500,747.750000,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
32, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
32, 4, 955.093750,173.812500,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
33, 0, 1101.281250,582.531250,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
33, 1, 931.156250,784.187500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
33, 2, 601.437500,749.281250,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
33, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
33, 4, 956.093750,174.187500,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
34, 0, 1101.156250,582.812500,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
34, 1, 930.093750,786.031250,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
34, 2, 595.500000,748.750000,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
34, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
34, 4, 959.343750,172.375000,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
35, 0, 1100.906250,582.781250,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
35, 1, 924.781250,787.656250,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
35, 2, 595.281250,750.687500,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
35, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
35, 4, 955.343750,171.500000,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
36, 0, 1101.468750,582.843750,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
36, 1, 926.562500,790.531250,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
36, 2, 594.125000,750.406250,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
36, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
36, 4, 957.531250,172.593750,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
37, 0, 1101.781250,583.406250,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
37, 1, 927.156250,792.125000,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
37, 2, 593.906250,750.343750,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
37, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
37, 4, 959.187500,167.500000,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
38, 0, 1101.906250,583.250000,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
38, 1, 924.625000,794.531250,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
38, 2, 594.656250,747.687500,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
38, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
38, 4, 959.781250,166.343750,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
39, 0, 1101.656250,582.562500,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
39, 1, 927.625000,794.187500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
39, 2, 596.656250,745.625000,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
39, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
39, 4, 964.343750,168.343750,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
40, 0, 1101.656250,583.281250,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
40, 1, 927.156250,797.437500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
40, 2, 599.531250,748.156250,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
40, 3, -7.812500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
40, 4, 965.656250,166.781250,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
41, 0, 1101.937500,582.343750,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
41, 1, 923.125000,794.625000,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
