Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,10
Label,,
TIME,CH1,CH2
-8.224e-01,34,0.8
-8.192e-01,34.4,0.8
-8.160e-01,34.4,0.8
-8.128e-01,34.4,0.8
-8.096e-01,34.4,0.8
-8.064e-01,34.4,0.8
-8.032e-01,34.4,0.8
-8.000e-01,34.8,0.4
-7.968e-01,34.4,0.8
-7.936e-01,34.8,0.4
-7.904e-01,34.8,0.8
-7.872e-01,34.8,0.8
-7.840e-01,35.2,0.4
-7.808e-01,35.2,0.4
-7.776e-01,35.2,0.4
-7.744e-01,35.2,0.4
-7.712e-01,35.2,0.8
-7.680e-01,35.2,0.8
-7.648e-01,35.2,0.4
-7.616e-01,35.2,0.4
-7.584e-01,35.6,0.8
-7.552e-01,35.6,0.8
-7.520e-01,35.6,0.4
-7.488e-01,35.6,0.4
-7.456e-01,35.6,0.4
-7.424e-01,35.6,0.4
-7.392e-01,35.6,0.4
-7.360e-01,35.6,0.8
-7.328e-01,35.6,0.8
-7.296e-01,36,0.4
-7.264e-01,36,0.8
-7.232e-01,36,0.8
-7.200e-01,36,0.8
-7.168e-01,36.4,0.4
-7.136e-01,36.4,0.4
-7.104e-01,36.4,0.8
-7.072e-01,36.4,0.8
-7.040e-01,36.4,0.8
-7.008e-01,36.4,0.8
-6.976e-01,36.8,0.4
-6.944e-01,36.8,0.4
-6.912e-01,36.8,0.4
-6.880e-01,36.8,0.4
-6.848e-01,36.8,0.8
-6.816e-01,36.8,0.8
-6.784e-01,37.2,0.8
-6.752e-01,36.8,0.4
-6.720e-01,36.8,0.4
-6.688e-01,37.2,0.4
-6.656e-01,37.2,0.4
-6.624e-01,37.2,0.4
-6.592e-01,37.6,0.4
-6.560e-01,37.6,0.4
-6.528e-01,37.6,0.8
-6.496e-01,38,0.4
-6.464e-01,37.6,0.8
-6.432e-01,37.6,0.4
-6.400e-01,38,0.8
-6.368e-01,37.6,0.8
-6.336e-01,37.6,0.4
-6.304e-01,38,0.4
-6.272e-01,38,0.4
-6.240e-01,38,0.4
-6.208e-01,38,0.8
-6.176e-01,38.4,0.4
-6.144e-01,38.4,0.4
-6.112e-01,38.4,0.4
-6.080e-01,38.4,0.4
-6.048e-01,38.8,0.4
-6.016e-01,38.4,0.4
-5.984e-01,38.8,0.4
-5.952e-01,38.8,0.4
-5.920e-01,38.4,0.4
-5.888e-01,38.8,0.8
-5.856e-01,38.8,0.4
-5.824e-01,39.2,0.8
-5.792e-01,38.8,0.4
-5.760e-01,38.8,0.4
-5.728e-01,38.8,0.4
-5.696e-01,39.2,0.8
-5.664e-01,39.2,0.4
-5.632e-01,39.2,0.4
-5.600e-01,39.2,0.4
-5.568e-01,39.6,0.4
-5.536e-01,39.6,0.4
-5.504e-01,39.2,0.4
-5.472e-01,39.6,0.8
-5.440e-01,39.6,0.4
-5.408e-01,40,0.4
-5.376e-01,40.4,0.4
-5.344e-01,40.4,0.8
-5.312e-01,40,0.4
-5.280e-01,40.4,0.4
-5.248e-01,40,0.4
-5.216e-01,40,0.4
-5.184e-01,40.4,0.4
-5.152e-01,40,0.4
-5.120e-01,40.4,0.4
-5.088e-01,40.4,0.8
-5.056e-01,40.8,0.4
-5.024e-01,40.4,0.4
-4.992e-01,40.4,0.8
-4.960e-01,40.4,0.4
-4.928e-01,40.4,0.4
-4.896e-01,40.8,0.4
