Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,5
Label,,
TIME,CH1,CH2
-2.109e+00,16.4,1.4
-2.106e+00,16.4,1.2
-2.102e+00,16.8,1
-2.099e+00,16.8,1.2
-2.096e+00,16.8,1
-2.093e+00,16.8,1
-2.090e+00,16.8,0.8
-2.086e+00,17.2,1
-2.083e+00,17.2,1
-2.080e+00,17.2,1.2
-2.077e+00,17.6,1.2
-2.074e+00,16.8,1.2
-2.070e+00,16.8,1
-2.067e+00,17.6,1.2
-2.064e+00,17.2,1
-2.061e+00,16.8,1
-2.058e+00,17.6,1
-2.054e+00,17.2,1
-2.051e+00,17.6,1
-2.048e+00,17.6,1
-2.045e+00,17.6,1.2
-2.042e+00,17.6,1
-2.038e+00,17.6,0.8
-2.035e+00,18,1
-2.032e+00,18,0.8
-2.029e+00,18,0.8
-2.026e+00,18,0.8
-2.022e+00,18.4,0.6
-2.019e+00,18,0.8
-2.016e+00,18.4,0.8
-2.013e+00,18.4,0.8
-2.010e+00,18.4,0.8
-2.006e+00,17.6,1
-2.003e+00,19.2,1
-2.000e+00,18.4,0.8
-1.997e+00,19.2,0.8
-1.994e+00,18.8,0.8
-1.990e+00,19.2,0.8
-1.987e+00,18.4,0.8
-1.984e+00,19.2,1
-1.981e+00,19.2,1
-1.978e+00,18.8,1
-1.974e+00,19.2,1
-1.971e+00,19.2,1
-1.968e+00,19.2,1
-1.965e+00,19.2,1
-1.962e+00,18.8,0.6
-1.958e+00,19.6,0.6
-1.955e+00,19.2,0.6
-1.952e+00,19.2,0.4
-1.949e+00,19.6,0.4
-1.946e+00,19.2,0.2
-1.942e+00,19.6,0.2
-1.939e+00,19.6,-0.2
-1.936e+00,19.6,-0.4
-1.933e+00,19.6,-0.4
-1.930e+00,19.6,-0.8
-1.926e+00,19.2,-0.8
-1.923e+00,20,-1
-1.920e+00,20,-1
-1.917e+00,20.8,-1.2
-1.914e+00,20,-1.2
-1.910e+00,20.4,-1.2
-1.907e+00,19.6,-1.2
-1.904e+00,20,-1.2
-1.901e+00,19.6,-1.2
-1.898e+00,20.8,-1.4
-1.894e+00,20.8,-1.4
-1.891e+00,20.4,-1.4
-1.888e+00,20.8,-1.2
-1.885e+00,20.4,-1.2
-1.882e+00,20.8,-1.2
-1.878e+00,20.8,-1
-1.875e+00,20.8,-1
-1.872e+00,21.2,-0.8
-1.869e+00,20.8,-1
-1.866e+00,21.2,-0.8
-1.862e+00,20.8,-1
-1.859e+00,21.2,-0.8
-1.856e+00,21.2,-0.8
-1.853e+00,20.8,-0.8
-1.850e+00,21.2,-0.8
-1.846e+00,21.2,-0.6
-1.843e+00,21.6,-0.6
-1.840e+00,20.8,-0.4
-1.837e+00,21.2,-0.6
-1.834e+00,21.6,-0.6
-1.830e+00,22,-0.6
-1.827e+00,22,-0.6
-1.824e+00,22,-0.6
-1.821e+00,20.8,-0.6
-1.818e+00,21.6,-0.6
-1.814e+00,22,-0.4
-1.811e+00,22.4,-0.4
-1.808e+00,23.6,-0.2
-1.805e+00,21.2,-0.4
-1.802e+00,22.4,-0.4
-1.798e+00,21.6,-0.4
-1.795e+00,22.4,-0.6
-1.792e+00,23.2,-0.6
-1.789e+00,22.8,-0.6
-1.786e+00,22.4,-0.6
-1.782e+00,22.4,-0.6
-1.779e+00,22.8,-0.6
-1.776e+00,23.2,-0.8
-1.773e+00,23.2,-0.6
-1.770e+00,22.8,-0.6
-1.766e+00,22.8,-0.6
-1.763e+00,23.2,-0.8
-1.760e+00,22.4,-0.8
-1.757e+00,23.2,-1.2
-1.754e+00,23.2,-1.2
-1.750e+00,23.6,-1
-1.747e+00,23.6,-1
-1.744e+00,22.8,-0.8
-1.741e+00,22.8,-0.8
-1.738e+00,23.6,-0.8
-1.734e+00,23.6,-0.8
-1.731e+00,23.6,-0.8
-1.728e+00,22.4,-0.8
-1.725e+00,24.4,-0.8
-1.722e+00,24,-0.6
-1.718e+00,24,-0.8
-1.715e+00,24,-0.6
-1.712e+00,24,-0.4
-1.709e+00,24.8,-0.4
-1.706e+00,24,-0.2
-1.702e+00,24.4,-0.2
-1.699e+00,24.4,0
-1.696e+00,23.6,-0.2
-1.693e+00,24,0
-1.690e+00,24.4,0
-1.686e+00,24.4,0.2
-1.683e+00,24.4,0
-1.680e+00,25.2,0.2
-1.677e+00,24.8,0.6
-1.674e+00,24.4,0.6
-1.670e+00,24.8,0.8
-1.667e+00,25.2,1
-1.664e+00,25.2,1.2
-1.661e+00,23.2,1
-1.658e+00,24.8,1.4
-1.654e+00,24.8,1.4
-1.651e+00,25.2,1.8
-1.648e+00,25.6,1.8
-1.645e+00,26,2.2
-1.642e+00,25.2,2.4
-1.638e+00,25.2,2.6
-1.635e+00,25.6,2.6
-1.632e+00,24.8,2.8
-1.629e+00,26.4,2.8
-1.626e+00,25.6,2.8
-1.622e+00,25.6,2.8
-1.619e+00,26,3
-1.616e+00,25.2,2.8
-1.613e+00,26.4,3.2
-1.610e+00,26,3.4
-1.606e+00,26,3.6
-1.603e+00,26.4,3.6
-1.600e+00,26.8,3.6
-1.597e+00,26.4,3.8
-1.594e+00,26,3.8
-1.590e+00,26,3.8
-1.587e+00,26.4,3.8
-1.584e+00,26,3.6
-1.581e+00,26,3.8
-1.578e+00,26.4,4
-1.574e+00,26.8,4
-1.571e+00,26.4,4.2
-1.568e+00,28,4.2
-1.565e+00,26,4.2
-1.562e+00,26.4,4.4
-1.558e+00,27.6,4.4
-1.555e+00,27.2,4.4
-1.552e+00,27.6,4.4
-1.549e+00,27.6,4.4
-1.546e+00,27.2,4.4
-1.542e+00,27.2,4.6
-1.539e+00,27.2,4.8
-1.536e+00,27.2,4.8
-1.533e+00,28,5
-1.530e+00,27.6,5.2
-1.526e+00,27.6,5.2
-1.523e+00,27.2,5.4
-1.520e+00,27.2,5.6
-1.517e+00,27.6,5.8
-1.514e+00,28,6
-1.510e+00,28,6.2
-1.507e+00,28,6.4
-1.504e+00,28,6.8
-1.501e+00,28.4,7
-1.498e+00,28,7
-1.494e+00,28,7.2
-1.491e+00,28.4,7.2
-1.488e+00,28.8,7.2
-1.485e+00,27.6,7.2
-1.482e+00,28.4,7.4
-1.478e+00,28,7.4
-1.475e+00,28.4,7.6
-1.472e+00,28.8,7.8
-1.469e+00,29.2,8
-1.466e+00,28.8,7.8
-1.462e+00,29.2,7.8
-1.459e+00,28.8,7.8
-1.456e+00,28.4,7.8
-1.453e+00,28.8,7.8
-1.450e+00,28.8,7.8
-1.446e+00,29.2,8
-1.443e+00,29.2,8
-1.440e+00,29.2,8.2
-1.437e+00,28.8,8.2
-1.434e+00,29.2,8.2
-1.430e+00,29.2,8.4
-1.427e+00,29.6,8.4
-1.424e+00,29.2,8.2
-1.421e+00,30,8.2
-1.418e+00,29.6,8.4
-1.414e+00,29.2,8.4
-1.411e+00,29.6,8.4
-1.408e+00,28.8,8.6
-1.405e+00,30,8.4
-1.402e+00,29.6,8.8
-1.398e+00,29.6,8.6
-1.395e+00,30,8.8
-1.392e+00,29.2,8.8
-1.389e+00,29.6,8.8
-1.386e+00,30.4,8.8
-1.382e+00,30.4,9
-1.379e+00,30,9
-1.376e+00,29.6,9
-1.373e+00,30.4,9.2
-1.370e+00,30.4,9.2
-1.366e+00,30.4,9.6
-1.363e+00,30.8,9.4
-1.360e+00,30.8,9.6
-1.357e+00,30.8,9.8
-1.354e+00,30.8,10
-1.350e+00,30.8,10
-1.347e+00,30.4,10.2
-1.344e+00,30.8,10.4
-1.341e+00,31.6,10.6
-1.338e+00,31.2,10.8
-1.334e+00,31.6,11
-1.331e+00,30.8,11.2
-1.328e+00,31.2,11.2
-1.325e+00,30.4,11.4
-1.322e+00,31.2,11.4
-1.318e+00,31.2,11.6
-1.315e+00,31.2,11.8
-1.312e+00,31.6,12
-1.309e+00,30.8,12.2
-1.306e+00,31.6,12.4
-1.302e+00,31.6,12.4
-1.299e+00,32,12.8
-1.296e+00,32,12.6
-1.293e+00,32,12.8
-1.290e+00,32,13
-1.286e+00,32,13
-1.283e+00,32,12.8
-1.280e+00,31.6,12.8
-1.277e+00,31.6,13
